Postcode,PostcodeNS,LSOA11,MSOA11,WardCodeONSNSPL,WardNameONSNSPL,ConstituencyCodeONSNSPL,ConstituencyNameONSNSPL,CCG,WardCodeCurrent,WardNameCurrent,ConstituencyCodeCurrent,ConstituencyNameCurrent,Latitude,Longitude,DateOfTermination
BD1 1AA,BD11AA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.796019,-1.750599,201703
BD1 1AE,BD11AE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79575,-1.750965,201605
BD1 1AF,BD11AF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794994,-1.750301,
BD1 1AG,BD11AG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793496,-1.753258,
BD1 1AH,BD11AH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794476,-1.749184,
BD1 1AJ,BD11AJ,E01033693,E02002221,E05001359,Manningham,E14000589,Bradford West,E38000232,E05001344,Bolton and Undercliffe,E14000587,Bradford East,53.802636,-1.755843,201811
BD1 1AN,BD11AN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.795668,-1.75016,199906
BD1 1AW,BD11AW,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79575,-1.750995,199706
BD1 1BA,BD11BA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793191,-1.752118,199912
BD1 1BG,BD11BG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793878,-1.749792,200403
BD1 1BL,BD11BL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794163,-1.752492,
BD1 1BX,BD11BX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79575,-1.750995,198512
BD1 1BZ,BD11BZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.796658,-1.751172,200602
BD1 1DA,BD11DA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793972,-1.751658,201106
BD1 1DB,BD11DB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793953,-1.751005,198112
BD1 1DD,BD11DD,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.79459,-1.750364,200607
BD1 1DE,BD11DE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794392,-1.750487,200607
BD1 1DF,BD11DF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794176,-1.750549,200011
BD1 1DG,BD11DG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794176,-1.750549,200702
BD1 1DH,BD11DH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794345,-1.749257,200601
BD1 1DJ,BD11DJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794426,-1.749576,200407
BD1 1DL,BD11DL,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794129,-1.753585,199812
BD1 1DN,BD11DN,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794426,-1.749576,200110
BD1 1DP,BD11DP,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793868,-1.74926,200503
BD1 1DQ,BD11DQ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793953,-1.751005,198612
BD1 1DR,BD11DR,E01033693,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794154,-1.748348,200601
BD1 1DT,BD11DT,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793878,-1.749792,200702
BD1 1DU,BD11DU,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793806,-1.749458,200601
BD1 1DW,BD11DW,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794345,-1.749257,200403
BD1 1DX,BD11DX,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793051,-1.749493,198112
BD1 1DY,BD11DY,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793051,-1.749493,198312
BD1 1DZ,BD11DZ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.792849,-1.751756,200203
BD1 1EA,BD11EA,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793972,-1.751658,200702
BD1 1EB,BD11EB,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793054,-1.751011,198112
BD1 1ED,BD11ED,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793538,-1.750431,200601
BD1 1EE,BD11EE,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793485,-1.751023,
BD1 1EF,BD11EF,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.793057,-1.752529,199501
BD1 1EG,BD11EG,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794574,-1.751366,
BD1 1EH,BD11EH,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794412,-1.751458,200702
BD1 1EJ,BD11EJ,E01033690,E02002221,E05001347,City,E14000589,Bradford West,E38000232,E05001347,City,E14000589,Bradford West,53.794122,-1.75157,
